YEAR_MONTH,Order_Date,Aggregator_Order_No,Order_From,Order_Type,My_Amount,Aggregator_Discount,Outlet_Discount,Delivery_Charges,Container_Charges,Additional_Charge,Total,Cancelled_By
2026-01,2026-01-01 20:22:26,226248745087320,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-01 19:27:17,226245435020384,Swiggy,Delivery,380.0,0.0,0.0,0.0,0.0,0.0,399.0,
2026-01,2026-01-01 16:11:35,226233693823440,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-01 15:24:31,226230850392637,Swiggy,Delivery,225.0,0.0,0.0,0.0,0.0,0.0,236.25,
2026-01,2026-01-01 15:09:42,226229957356572,Swiggy,Delivery,189.0,0.0,0.0,0.0,0.0,0.0,198.45,
2026-01,2026-01-01 14:55:45,226229097676168,Swiggy,Delivery,270.0,0.0,0.0,0.0,0.0,0.0,283.5,
2026-01,2026-01-01 13:28:35,226223904266312,Swiggy,Delivery,820.0,0.0,0.0,0.0,0.0,0.0,861.0,
2026-01,2026-01-01 12:46:06,226221361513374,Swiggy,Delivery,165.0,0.0,0.0,0.0,0.0,0.0,173.25,
2026-01,2026-01-01 12:41:15,226221026573585,Swiggy,Delivery,275.0,0.0,0.0,0.0,0.0,0.0,288.75,
2026-01,2026-01-02 18:02:30,226326701715497,Swiggy,Delivery,499.0,0.0,0.0,0.0,0.0,0.0,523.95,
2026-01,2026-01-02 16:52:41,226322546536609,Swiggy,Delivery,604.0,0.0,0.0,0.0,0.0,0.0,634.2,
2026-01,2026-01-02 12:57:49,226308438526610,Swiggy,Delivery,179.0,0.0,0.0,0.0,0.0,0.0,187.95,
2026-01,2026-01-03 20:40:30,226422629932965,Swiggy,Delivery,325.0,0.0,0.0,0.0,0.0,0.0,341.25,
2026-01,2026-01-03 19:15:35,226417514232998,Swiggy,Delivery,520.0,0.0,0.0,0.0,0.0,0.0,546.0,
2026-01,2026-01-03 19:01:17,226416656848949,Swiggy,Delivery,1510.0,0.0,0.0,0.0,0.0,0.0,1585.5,
2026-01,2026-01-03 14:19:15,226399754200517,Swiggy,Delivery,165.0,0.0,0.0,0.0,0.0,0.0,173.25,
